dt;Posicion;V RK4;Energia
2,59;12,23;18,86;262,66
2,60;12,32;19,06;261,50
2,61;12,41;19,22;260,28
2,62;12,49;19,32;259,01
2,63;12,59;19,36;257,71
2,64;12,68;19,35;256,38
2,65;12,77;19,29;255,04
2,66;12,87;19,18;253,69
2,67;12,96;19,00;252,35
2,68;13,06;18,78;251,04
2,69;13,16;18,50;249,75
2,70;13,26;18,17;248,51
2,71;13,36;17,79;247,32
2,72;13,46;17,35;246,20
2,73;13,55;16,87;245,14
2,74;13,65;16,34;244,17
2,75;13,74;15,76;243,29
2,76;13,84;15,14;242,50
2,77;13,93;14,48;241,81
2,78;14,02;13,77;241,23
2,79;14,10;13,03;240,77
2,80;14,19;12,25;240,41
2,81;14,27;11,44;240,17
2,82;14,34;10,61;240,05
2,83;14,41;9,74;240,04
2,84;14,48;8,86;240,15
2,85;14,55;7,97;240,36
2,86;14,60;7,07;240,68
2,87;14,66;6,17;241,10
2,88;14,71;5,29;241,62
2,89;14,75;4,46;242,23
2,90;14,79;3,72;242,92
2,91;14,83;3,14;243,68
2,92;14,85;2,83;244,51
2,93;14,88;2,90;245,39
2,94;14,90;3,31;246,32
2,95;14,91;3,96;247,29
2,96;14,92;4,74;248,29
2,97;14,92;5,59;249,30
2,98;14,92;6,48;250,33
2,99;14,91;7,38;251,35
3,00;14,90;8,29;252,37
3,01;14,89;9,18;253,37
3,02;14,87;10,06;254,34
3,03;14,84;10,92;255,28
3,04;14,82;11,76;256,19
3,05;14,79;12,57;257,05
3,06;14,76;13,34;257,86
3,07;14,72;14,08;258,62
3,08;14,68;14,78;259,32
3,09;14,64;15,44;259,97
3,10;14,60;16,06;260,55
3,11;14,56;16,63;261,08
3,12;14,52;17,15;261,55
3,13;14,47;17,63;261,96
3,14;14,43;18,05;262,32
3,15;14,39;18,42;262,63
3,16;14,34;18,74;262,89
3,17;14,30;19,01;263,11
3,18;14,25;19,22;263,29
3,19;14,21;19,37;263,45
3,20;14,17;19,47;263,58
3,21;14,13;19,51;263,70
3,22;14,10;19,49;263,81
3,23;14,06;19,42;263,92
3,24;14,03;19,29;264,04
3,25;13,99;19,10;264,18
3,26;13,96;18,85;264,34
3,27;13,94;18,55;264,53
3,28;13,91;18,20;264,76
3,29;13,88;17,78;265,04
3,30;13,86;17,32;265,37
3,31;13,84;16,81;265,76
3,32;13,82;16,24;266,21
3,33;13,80;15,63;266,72
3,34;13,79;14,97;267,31
3,35;13,77;14,26;267,97
3,36;13,76
