dt;Posicion;V RK2;Energia
2,84;13,21;7,27;187,31
2,85;13,26;6,47;187,31
2,86;13,30;5,67;187,43
2,87;13,34;4,86;187,43
2,88;13,38;4,07;187,91
2,89;13,41;3,31;187,91
2,90;13,44;2,62;188,72
2,91;13,46;2,10;189,24
2,92;13,48;1,88;189,24
2,93;13,50;2,07;190,44
2,94;13,51;2,57;190,44
2,95;13,51;3,23;191,78
2,96;13,51;3,97;191,78
2,97;13,51;4,74;193,17
2,98;13,50;5,53;193,86
2,99;13,49;6,32;193,86
3,00;13,47;7,10;195,20
3,01;13,45;7,87;195,85
3,02;13,43;8,62;196,46
3,03;13,41;9,34;196,46
3,04;13,38;10,05;197,59
3,05;13,35;10,73;197,59
3,06;13,31;11,38;198,56
3,07;13,28;11,99;198,56
3,08;13,24;12,58;199,35
3,09;13,20;13,12;199,67
3,10;13,16;13,63;199,94
3,11;13,12;14,10;199,94
3,12;13,07;14,53;200,34
3,13;13,03;14,92;200,34
3,14;12,99;15,26;200,56
3,15;12,94;15,56;200,61
3,16;12,90;15,81;200,61
3,17;12,86;16,02;200,61
3,18;12,82;16,17;200,61
3,19;12,78;16,28;200,50
3,20;12,74;16,35;200,50
3,21;12,70;16,36;200,33
3,22;12,66;16,32;200,24
3,23;12,63;16,24;200,24
3,24;12,59;16,10;200,06
3,25;12,56;15,92;200,06
3,26;12,53;15,69;199,95
3,27;12,50;15,42;199,95
3,28;12,47;15,10;199,95
3,29;12,45;14,73;199,95
3,30;12,42;14,32;200,10
3,31;12,40;13,86;200,10
3,32;12,38;13,37;200,44
3,33;12,36;12,83;200,44
3,34;12,34;12,25;201,00
3,35;12,32;11,64;201,36
3,36;12,30;11,00;201,36
3,37;12,28;10,32;202,27
3
