Tiempo;Pos.x;Pos.y;Vel.x;Vel.y;Energia
2,450;26,450;24,698;8,635;-4,491;240,424
2,460;26,537;24,653;8,617;-4,579;240,229
2,470;26,623;24,607;8,599;-4,668;240,033
2,480;26,709;24,560;8,582;-4,757;239,837
2,490;26,794;24,512;8,564;-4,845;239,641
2,500;26,880;24,463;8,547;-4,933;239,444
2,510;26,965;24,413;8,529;-5,021;239,246
2,520;27,050;24,362;8,512;-5,109;239,048
2,530;27,135;24,311;8,495;-5,197;238,849
2,540;27,220;24,258;8,478;-5,284;238,650
2,550;27,305;24,205;8,461;-5,372;238,449
2,560;27,390;24,151;8,444;-5,459;238,249
2,570;27,474;24,096;8,427;-5,546;238,047
2,580;27,558;24,040;8,411;-5,633;237,845
2,590;27,642;23,983;8,394;-5,720;237,642
2,600;27,726;23,926;8,377;-5,807;237,439
2,610;27,810;23,867;8,361;-5,893;237,235
2,620;27,893;23,808;8,345;-5,980;237,030
2,630;27,977;23,747;8,328;-6,066;236,824
2,640;28,060;23,686;8,312;-6,152;236,618
2,650;28,143;23,624;8,296;-6,239;236,410
2,660;28,226;23,562;8,280;-6,325;236,202
2,670;28,308;23,498;8,264;-6,410;235,994
2,680;28,391;23,433;8,248;-6,496;235,784
2,690;28,473;23,368;8,233;-6,582;235,574
2,700;28,556;23,302;8,217;-6,667;235,362
2,710;28,638;23,235;8,202;-6,753;235,150
2,720;28,720;23,167;8,186;-6,838;234,938
2,730;28,801;23,098;8,171;-6,923;234,724
2,740;28,883;23,028;8,155;-7,008;234,509
2,750;28,965;22,958;8,140;-7,093;234,294
2,760;29,046;22,886;8,125;-7,178;234,077
2,770;29,127;22,814;8,110;-7,263;233,860
2,780;29,208;22,741;8,095;-7,348;233,642
2,790;29,289;22,667;8,081;-7,432;233,423
2,800;29,370;22,593;8,066;-7,517;233,203
2,810;29,450;22,517;8,051;-7,601;232,982
2,820;29,531;22,440;8,037;-7,685;232,760
2,830;29,611;22,363;8,022;-7,769;232,537
2,840;29,691;22,285;8,008;-7,854;232,313
2,850;29,771;22,206;7,994;-7,938;232,088
2,860;29,851;22,126;7,979;-8,021;231,862
2,870;29,931;22,046;7,965;-8,105;231,636
2,880;30,010;21,964;7,951;-8,189;231,408
2,890;30,090;21,882;7,937;-8,273;231,179
2,900;30,169;21,799;7,923;-8,356;230,949
2,910;30,248;21,715;7,910;-8,440;230,718
2,920;30,327;21,630;7,896;-8,523;230,487
2,930;30,406;21,544;7,882;-8,607;230,254
2,940;30,485;21,458;7,869;-8,690;230,020
2,950;30,564;21,371;7,856;-8,773;229,785
2,960;30,642;21,282;7,842;-8,856;229,549
2,970;30,720;21,193;7,829;-8,939;229,311
2,980;30,799;21,104;7,816;-9,022;229,073
2,990;30,877;21,013;7,803;-9,105;228,834
3,000;30,955;20,922;7,790;-9,188;228,594
3,010;31,033;20,829;7,777;-9,271;228,352
3,020;31,110;20,736;7,764;-9,353;228,110
3,030;31,188;20,642;7,751;-9,436;227,866
3,040;31,265;20,547;7,738;-9,518;227,621
3,050;31,343;20,452;7,726;-9,601;227,375
3,060;31,420;20,355;7,713;-9,683;227,128
3,070;31,497;20,258;7,701;-9,766;226,880
3,080;31,574;20,160;7,688;-9,848;226,631
3,090;31,651;20,061;7,676;-9,930;226,380
3,100;31,727;19,961;7,664;-10,012;226,129
3,110;31,804;19,861;7,652;-10,095;225,876
3,120;31,880;19,760;7,640;-10,177;225,622
3,130;31,957;19,657;7,628;-10,259;225,367
3,140;32,033;19,554;7,616;-10,341;225,111
3,150;32,109;19,451;7,604;-10,423;224,853
3,160;32,185;19,346;7,592;-10,504;224,595
3,170;32,261;19,240;7,580;-10,586;224,335
3,180;32,337;19,134;7,569;-10,668;224,074
3,190;32,412;19,027;7,557;-10,750;223,812
3,200;32,488;18,919;7,546;-10,831;223,548
3,210;32,563;18,811;7,534;-10,913;223,284
3,220;32,638;18,701;7,523;-10,994;223,018
3,230;32,714;18,591;7,511;-11,076;222,751
3,240;32,789;18,479;7,500;-11,157;222,483
3,250;32,864;18,367;7,489;-11,239;222,213
3,260;32,938;18,255;7,478;-11,320;221,942
3,270;33,013;18,141;7,467;-11,401;221,670
3,280;33,088;18,027;7,456;-11,483;221,397
3,290;33,162;17,911;7,445;-11,564;221,123
3,300;33,237;17,795;7,434;-11,645;220,847
3,310;33,311;17,679;7,424;-11,726;220,570
3,320;33,385;17,561;7,413;-11,807;220,292
3,330;33,459;17,442;7,402;-11,889;220,012
3,340;33,533;17,323;7,392;-11,970;219,732
3,350;33,607;17,203;7,381;-12,051;219,450
3,360;33,681;17,082;7,371;-12,132;219,166
3,370;33,754;16,960;7,360;-12,212;218,882
3,380;33,828;16,838;7,350;-12,293;218,596
3,390;33,901;16,714;7,340;-12,374;218,309
3,400;33,975;16,590;7,329;-12,455;218,021
3,410;34,048;16,465;7,319;-12,536;217,731
3,420;34,121;16,340;7,309;-12,616;217,440
3,430;34,194;16,213;7,299;-12,697;217,148
3,440;34,267;16,086;7,289;-12,778;216,854
3,450;34,340;15,957;7,279;-12,858;216,559
3,460;34,413;15,829;7,270;-12,939;216,263
3,470;34,485;15,699;7,260;-13,020;215,966
3,480;34,558;15,568;7,250;-13,100;215,667
3,490;34,630;15,437;7,240;-13,181;215,367
3,500;34,703;15,304;7,231;-13,261;215,065
3,510;34,775;15,171;7,221;-13,342;214,762
3,520;34,847;15,038;7,212;-13,422;214,458
3,530;34,919;14,903;7,202;-13,502;214,153
3,540;34,991;14,768;7,193;-13,583;213,846
3,550;35,063;14,631;7,183;-13,663;213,538
3,560;35,135;14,494;7,174;-13,743;213,229
3,570;35,207;14,357;7,165;-13,824;212,918
3,580;35,278;14,218;7,156;-13,904;212,606
3,590;35,350;14,078;7,146;-13,984;212,293
3,600;35,421;13,938;7,137;-14,064;211,978
3,610;35,492;13,797;7,128;-14,145;211,662
3,620;35,564;13,655;7,119;-14,225;211,344
3,630;35,635;13,513;7,110;-14,305;211,025
3,640;35,706;13,369;7,101;-14,385;210,705
3,650;35,777;13,225;7,093;-14,465;210,384
3,660;35,848;13,080;7,084;-14,545;210,061
3,670;35,919;12,934;7,075;-14,625;209,737
3,680;35,989;12,787;7,066;-14,705;209,411
3,690;36,060;12,640;7,058;-14,785;209,084
3,700;36,130;12,492;7,049;-14,865;208,756
3,710;36,201;12,343;7,040;-14,945;208,426
3,720;36,271;12,193;7,032;-15,025;208,095
3,730;36,341;12,042;7,023;-15,105;207,762
3,740;36,412;11,891;7,015;-15,185;207,429
3,750;36,482;11,738;7,007;-15,265;207,093
3,760;36,552;11,585;6,998;-15,344;206,757
3,770;36,622;11,432;6,990;-15,424;206,419
3,780;36,692;11,277;6,982;-15,504;206,079
3,790;36,761;11,121;6,974;-15,584;205,739
3,800;36,831;10,965;6,965;-15,664;205,396
3,810;36,901;10,808;6,957;-15,743;205,053
3,820;36,970;10,650;6,949;-15,823;204,708
3,830;37,040;10,492;6,941;-15,903;204,362
3,840;37,109;10,332;6,933;-15,982;204,014
3,850;37,178;10,172;6,925;-16,062;203,665
3,860;37,248;10,011;6,917;-16,142;203,314
3,870;37,317;9,849;6,909;-16,221;202,962
3,880;37,386;9,687;6,901;-16,301;202,609
3,890;37,455;9,523;6,894;-16,380;202,254
3,900;37,524;9,359;6,886;-16,460;201,898
3,910;37,592;9,194;6,878;-16,540;201,541
3,920;37,661;9,028;6,871;-16,619;201,182
3,930;37,730;8,862;6,863;-16,699;200,821
3,940;37,798;8,694;6,855;-16,778;200,459
3,950;37,867;8,526;6,848;-16,858;200,096
3,960;37,935;8,357;6,840;-16,937;199,732
3,970;38,004;8,187;6,833;-17,017;199,366
3,980;38,072;8,017;6,825;-17,096;198,998
3,990;38,140;7,845;6,818;-17,176;198,629
4,000;38,208;7,673;6,810;-17,255;198,259
4,010;38,276;7,500;6,803;-17,334;197,887
4,020;38,344;7,327;6,796;-17,414;197,514
4,030;38,412;7,152;6,789;-17,493;197,139
4,040;38,480;6,977;6,781;-17,573;196,763
4,050;38,548;6,801;6,774;-17,652;196,386
4,060;38,616;6,624;6,767;-17,731;196,007
4,070;38,683;6,446;6,760;-17,811;195,627
4,080;38,751;6,267;6,753;-17,890;195,245
4,090;38,818;6,088;6,746;-17,969;194,862
4,100;38,886;5,908;6,739;-18,048;194,477
4,110;38,953;5,727;6,732;-18,128;194,091
4,120;39,020;5,546;6,725;-18,207;193,704
4,130;39,088;5,363;6,718;-18,286;193,315
4,140;39,155;5,180;6,711;-18,365;192,925
4,150;39,222;4,996;6,704;-18,445;192,533
4,160;39,289;4,811;6,697;-18,524;192,140
4,170;39,356;4,625;6,690;-18,603;191,745
4,180;39,423;4,439;6,684;-18,682;191,349
4,190;39,489;4,252;6,677;-18,761;190,951
4,200;39,556;4,064;6,670;-18,841;190,552
4,210;39,623;3,875;6,663;-18,920;190,152
4,220;39,689;3,685;6,657;-18,999;189,750
4,230;39,756;3,495;6,650;-19,078;189,347
4,240;39,822;3,304;6,644;-19,157;188,942
4,250;39,889;3,112;6,637;-19,236;188,536
4,260;39,955;2,919;6,631;-19,315;188,128
4,270;40,022;2,725;6,624;-19,394;187,719
4,280;40,088;2,531;6,618;-19,474;187,308
4,290;40,154;2,336;6,611;-19,553;186,896
4,300;40,220;2,140;6,605;-19,632;186,483
4,310;40,286;1,943;6,598;-19,711;186,068
4,320;40,352;1,746;6,592;-19,790;185,651
4,330;40,418;1,548;6,586;-19,869;185,233
4,340;40,484;1,348;6,579;-19,948;184,814
4,350;40,549;1,149;6,573;-20,027;184,393
4,360;40,615;0,948;6,567;-20,106;183,971
4,370;40,681;0,746;6,561;-20,185;183,547
4,380;40,746;0,544;6,555;-20,264;183,122
4,390;40,812;0,341;6,548;-20,343;182,695
4,400;40,877;0,137;6,542;-20,422;182,267
4,410;40,943;-0,067;6,536;-20,501;181,837
4,420;41,008;-0,273;6,530;-20,580;181,406
4,430;41,073;-0,479;6,524;-20,659;180,974
4,440;41,138;-0,686;6,518;-20,738;180,540
4,450;41,204;-0,894;6,512;-20,817;180,104
4,460;41,269;-1,102;6,506;-20,895;179,667
4,470;41,334;-1,312;6,500;-20,974;179,229
4,480;41,399;-1,522;6,494;-21,053;178,789
4,490;41,464;-1,733;6,488;-21,132;178,347
4,500;41,528;-1,944;6,482;-21,211;177,905
4,510;41,593;-2,157;6,477;-21,290;177,460
4,520;41,658;-2,370;6,471;-21,369;177,014
4,530;41,723;-2,584;6,465;-21,448;176,567
4,540;41,787;-2,799;6,459;-21,527;176,118
4,550;41,852;-3,015;6,453;-21,605;175,668
4,560;41,916;-3,231;6,448;-21,684;175,216
4,570;41,981;-3,448;6,442;-21,763;174,763
4,580;42,045;-3,666;6,436;-21,842;174,309
4,590;42,110;-3,885;6,431;-21,921;173,852
4,600;42,174;-4,105;6,425;-22,000;173,395
4,610;42,238;-4,325;6,419;-22,078;172,936
4,620;42,302;-4,546;6,414;-22,157;172,475
4,630;42,366;-4,768;6,408;-22,236;172,013
4,640;42,430;-4,991;6,403;-22,315;171,549
4,650;42,494;-5,215;6,397;-22,394;171,084
4,660;42,558;-5,439;6,392;-22,472;170,618
4,670;42,622;-5,664;6,386;-22,551;170,150
4,680;42,686;-5,890;6,381;-22,630;169,680
4,690;42,750;-6,117;6,375;-22,709;169,209
4,700;42,814;-6,344;6,370;-22,787;168,737
4,710;42,877;-6,572;6,365;-22,866;168,263
