NumParticulas;TiempoReal;TiempoSimulado;TiempoMedio;Frames;TiempoComputo
1200;77,972;232,710;0,017;58,824;0.006
1200;77,993;232,760;0,021;47,619;0.005
1200;78,004;232,810;0,011;90,909;0.004
1200;78,024;232,860;0,020;50,000;0.006
1200;78,040;232,910;0,016;62,500;0.004
1200;78,055;232,960;0,015;66,667;0.004
1200;78,073;233,010;0,018;55,556;0.004
1200;78,089;233,060;0,016;62,500;0.005
1200;78,106;233,110;0,017;58,824;0.004
1200;78,123;233,160;0,017;58,824;0.005
1200;78,141;233,210;0,018;55,556;0.004
1200;78,158;233,260;0,017;58,824;0.006
1200;78,173;233,310;0,015;66,667;0.004
1200;78,191;233,360;0,018;55,556;0.005
1200;78,210;233,410;0,019;52,632;0.004
1200;78,222;233,460;0,012;83,333;0.004
1200;78,240;233,510;0,018;55,556;0.005
1200;78,258;233,560;0,018;55,556;0.006
1200;78,276;233,610;0,018;55,556;0.004
1200;78,293;233,660;0,017;58,824;0.004
1200;78,307;233,710;0,014;71,429;0.004
1200;78,326;233,760;0,019;52,632;0.006
1200;78,344;233,810;0,018;55,556;0.004
1200;78,356;233,860;0,012;83,333;0.004
1200;78,375;233,910;0,019;52,632;0.005
1200;78,392;233,960;0,017;58,824;0.006
1200;78,409;234,010;0,017;58,824;0.004
1200;78,424;234,060;0,015;66,667;0.005
1200;78,444;234,110;0,020;50,000;0.004
1200;78,457;234,160;0,013;76,923;0.005
1200;78,476;234,210;0,019;52,632;0.005
1200;78,494;234,260;0,018;55,556;0.005
1200;78,510;234,310;0,016;62,500;0.005
1200;78,526;234,360;0,016;62,500;0.004
1200;78,541;234,410;0,015;66,667;0.004
1200;78,558;234,460;0,017;58,824;0.006
1200;78,577;234,510;0,019;52,632;0.004
1200;78,593;234,560;0,016;62,500;0.004
1200;78,610;234,610;0,017;58,824;0.004
1200;78,625;234,660;0,015;66,667;0.004
1200;78,641;234,710;0,016;62,500;0.004
1200;78,659;234,760;0,018;55,556;0.005
1200;78,676;234,810;0,017;58,824;0.004
1200;78,693;234,860;0,017;58,824;0.005
1200;78,708;234,910;0,015;66,667;0.004
1200;78,727;234,960;0,019;52,632;0.005
1200;78,745;235,010;0,018;55,556;0.004
1200;78,758;235,060;0,013;76,923;0.004
1200;78,776;235,110;0,018;55,556;0.005
1200;78,794;235,160;0,018;55,556;0.004
1200;78,811;235,210;0,017;58,824;0.004
1200;78,827;235,260;0,016;62,500;0.004
1200;78,844;235,310;0,017;58,824;0.004
1200;78,859;235,360;0,015;66,667;0.005
1200;78,877;235,410;0,018;55,556;0.004
1200;78,892;235,460;0,015;66,667;0.004
1200;78,911;235,510;0,019;52,632;0.006
1200;78,927;235,560;0,016;62,500;0.004
1200;78,942;235,610;0,015;66,667;0.004
1200;78,959;235,660;0,017;58,824;0.005
1200;78,978;235,710;0,019;52,632;0.005
1200;78,993;235,760;0,015;66,667;0.004
1200;79,011;235,810;0,018;55,556;0.004
1200;79,027;235,860;0,016;62,500;0.004
1200;79,043;235,910;0,016;62,500;0.004
1200;79,061;235,960;0,018;55,556;0.004
1200;79,076;236,010;0,015;66,667;0.004
1200;79,093;236,060;0,017;58,824;0.006
1200;79,111;236,110;0,018;55,556;0.004
1200;79,126;236,160;0,015;66,667;0.004
1200;79,144;236,210;0,018;55,556;0.005
1200;79,163;236,260;0,019;52,632;0.004
1200;79,175;236,310;0,012;83,333;0.004
1200;79,195;236,360;0,020;50,000;0.005
1200;79,211;236,410;0,016;62,500;0.004
1200;79,228;236,460;0,017;58,824;0.004
1200;79,246;236,510;0,018;55,556;0.004
1200;79,260;236,560;0,014;71,429;0.004
1200;79,276;236,610;0,016;62,500;0.005
1200;79,296;236,660;0,020;50,000;0.004
1200;79,311;236,710;0,015;66,667;0.004
1200;79,327;236,760;0,016;62,500;0.004
1200;79,344;236,810;0,017;58,824;0.005
1200;79,360;236,860;0,016;62,500;0.004
1200;79,377;236,910;0,017;58,824;0.005
1200;79,394;236,960;0,017;58,824;0.005
1200;79,410;237,010;0,016;62,500;0.004
1200;79,428;237,060;0,018;55,556;0.005
1200;79,445;237,110;0,017;58,824;0.005
